0.084,0.772,0.145,0.9985,2020-09-01T07:00:11+0000
0.064,0.776,0.159,0.9963,2020-09-01T09:00:20+0000
0.075,0.818,0.107,0.978,2020-09-01T09:00:36+0000
0.198,0.691,0.111,-0.926,2020-09-01T09:42:00+0000
0.086,0.746,0.168,0.9981,2020-09-01T15:30:09+0000
0.074,0.759,0.167,0.9837,2020-09-01T15:35:48+0000
0.07,0.749,0.18,0.9988,2020-09-01T18:29:14+0000
0.11,0.788,0.102,-0.9201,2020-09-01T19:44:56+0000
0.076,0.738,0.186,0.9898,2020-09-01T20:05:54+0000
0.041,0.819,0.14,0.9919,2020-09-01T20:14:30+0000
0.17,0.726,0.105,-0.9822,2020-09-01T23:37:28+0000
0.093,0.694,0.213,0.9985,2020-09-02T09:00:16+0000
0.122,0.781,0.098,-0.981,2020-09-02T09:00:26+0000
0.101,0.813,0.086,-0.9361,2020-09-02T09:00:30+0000
0.145,0.711,0.144,-0.7274,2020-09-02T10:38:15+0000
0.136,0.755,0.109,-0.9709,2020-09-02T11:35:54+0000
0.039,0.873,0.088,0.9938,2020-09-02T13:30:03+0000
0.173,0.744,0.084,-0.9813,2020-09-02T14:47:00+0000
0.149,0.762,0.09,-0.9244,2020-09-02T18:29:38+0000
0.115,0.75,0.135,0.9346,2020-09-02T18:43:22+0000
0.156,0.731,0.114,-0.9907,2020-09-02T19:46:10+0000
0.162,0.715,0.123,-0.9857,2020-09-02T20:14:16+0000
0.123,0.696,0.18,0.9907,2020-09-02T21:59:24+0000
0.04,0.74,0.22,0.9986,2020-09-02T22:10:58+0000
0.04,0.814,0.146,0.972,2020-09-02T22:37:23+0000
0.036,0.821,0.143,0.9985,2020-09-03T09:00:24+0000
0.041,0.803,0.157,0.999,2020-09-03T09:00:28+0000
0.113,0.778,0.11,-0.2125,2020-09-03T09:00:36+0000
0.149,0.754,0.097,-0.9927,2020-09-03T15:58:22+0000
0.061,0.727,0.212,0.9984,2020-09-03T16:00:04+0000
