neg,neu,pos,compound,date
0.098,0.778,0.123,0.9453,2020-02-20T14:35:38+0000
0.121,0.744,0.135,0.7612,2020-02-20T20:47:13+0000
0.122,0.78,0.098,-0.9949,2020-02-21T05:00:14+0000
0.1,0.829,0.071,-0.9964,2020-02-22T05:26:35+0000
0.045,0.861,0.094,0.9997,2020-02-22T10:23:04+0000
0.196,0.65,0.154,-0.9665,2020-02-22T19:30:06+0000
0.083,0.79,0.127,0.984,2020-02-22T20:26:07+0000
0.099,0.834,0.067,-0.9856,2020-02-23T00:54:34+0000
0.039,0.885,0.076,0.9403,2020-02-23T10:00:06+0000
0.139,0.683,0.178,0.9943,2020-02-23T10:07:28+0000
0.17,0.711,0.118,-0.9921,2020-02-23T20:01:57+0000
0.097,0.771,0.132,0.9611,2020-02-23T20:15:37+0000
0.147,0.716,0.137,-0.871,2020-02-23T23:08:33+0000
0.124,0.755,0.121,0.8604,2020-02-24T00:00:22+0000
0.167,0.682,0.151,-0.9342,2020-02-24T04:35:44+0000
0.126,0.765,0.109,-0.9911,2020-02-24T05:06:25+0000
0.117,0.763,0.12,-0.6836,2020-02-24T05:26:09+0000
0.134,0.691,0.175,0.9842,2020-02-24T07:31:45+0000
0.097,0.812,0.09,-0.8495,2020-02-24T13:55:16+0000
0.094,0.773,0.133,0.9776,2020-02-24T14:18:55+0000
0.135,0.748,0.117,-0.9507,2020-02-24T14:32:52+0000
0.105,0.789,0.106,0.7334,2020-02-24T19:48:15+0000
0.125,0.772,0.103,-0.9757,2020-02-24T20:27:18+0000
0.198,0.678,0.124,-0.9897,2020-02-24T20:50:41+0000
0.156,0.764,0.08,-0.9976,2020-02-24T22:16:41+0000
0.14,0.784,0.076,-0.9968,2020-02-24T22:55:13+0000
0.152,0.768,0.08,-0.9943,2020-02-25T01:52:22+0000
0.107,0.792,0.101,-0.5224,2020-02-25T07:08:43+0000
0.123,0.797,0.08,-0.989,2020-02-25T09:32:24+0000
0.084,0.753,0.163,0.9957,2020-02-25T10:00:09+0000
0.151,0.759,0.091,-0.9935,2020-02-25T10:00:26+0000
0.146,0.724,0.13,-0.9748,2020-02-25T19:42:52+0000
0.162,0.749,0.09,-0.9971,2020-02-25T20:55:38+0000
0.131,0.765,0.104,-0.9231,2020-02-25T21:08:16+0000
0.051,0.832,0.117,0.9901,2020-02-26T14:00:33+0000
0.136,0.739,0.125,-0.7579,2020-02-26T14:13:42+0000
0.15,0.731,0.118,-0.9995,2020-02-26T14:54:44+0000
0.018,0.925,0.057,0.5423,2020-02-26T18:17:59+0000
0.126,0.759,0.115,-0.9565,2020-02-26T18:55:16+0000
0.199,0.682,0.119,-0.9963,2020-02-26T20:00:08+0000
0.116,0.754,0.13,0.5267,2020-02-26T21:09:08+0000
0.169,0.683,0.148,-0.9844,2020-02-26T21:10:43+0000
0.111,0.789,0.1,0.1779,2020-02-26T21:54:59+0000
0.127,0.707,0.166,0.9514,2020-02-26T22:10:31+0000
0.068,0.82,0.112,0.9947,2020-02-27T00:47:11+0000
0.159,0.733,0.107,-0.9687,2020-02-27T08:27:09+0000
0.104,0.797,0.099,0.1531,2020-02-27T10:00:19+0000
0.108,0.795,0.098,-0.8998,2020-02-27T10:03:21+0000
0.203,0.713,0.085,-0.9985,2020-02-27T10:44:28+0000
0.133,0.737,0.13,0.1509,2020-02-27T10:59:20+0000
0.069,0.849,0.082,0.8816,2020-02-27T12:45:14+0000
0.189,0.692,0.119,-0.9936,2020-02-27T13:23:13+0000
0.088,0.759,0.153,0.9928,2020-02-27T13:41:46+0000
0.11,0.849,0.041,-0.9675,2020-02-27T17:09:21+0000
0.092,0.834,0.074,-0.9389,2020-02-27T17:32:34+0000
0.133,0.776,0.091,-0.993,2020-02-27T20:02:39+0000
0.104,0.811,0.085,-0.7488,2020-02-27T21:05:38+0000
0.196,0.673,0.131,-0.9975,2020-02-27T21:37:05+0000
0.112,0.767,0.121,0.7249,2020-02-27T21:53:17+0000
0.124,0.778,0.098,-0.8674,2020-02-27T22:01:43+0000
0.092,0.737,0.171,0.9953,2020-02-27T22:09:45+0000
0.161,0.774,0.065,-0.9702,2020-02-27T22:31:45+0000
0.147,0.741,0.112,-0.9792,2020-02-27T23:08:56+0000
0.062,0.853,0.086,0.818,2020-02-27T23:32:10+0000
0.26,0.671,0.07,-0.9974,2020-02-28T05:06:08+0000
0.117,0.807,0.076,-0.9983,2020-02-28T05:21:08+0000
0.109,0.687,0.204,0.9976,2020-02-28T06:09:15+0000
0.092,0.702,0.206,0.9955,2020-02-28T08:03:52+0000
0.109,0.78,0.111,0.3154,2020-02-28T09:00:19+0000
0.065,0.866,0.069,0.0727,2020-02-28T10:00:26+0000
0.158,0.644,0.198,0.9828,2020-02-28T10:00:50+0000
0.116,0.791,0.093,-0.9657,2020-02-28T10:48:29+0000
0.087,0.748,0.165,0.9981,2020-02-28T12:12:26+0000
0.049,0.818,0.133,0.9956,2020-02-28T14:00:06+0000
