neg,neu,pos,compound,date
0.203,0.713,0.085,-0.9985,2020-02-27T10:44:28+0000
0.133,0.737,0.13,0.1509,2020-02-27T10:59:20+0000
0.069,0.849,0.082,0.8816,2020-02-27T12:45:14+0000
0.189,0.692,0.119,-0.9936,2020-02-27T13:23:13+0000
0.088,0.759,0.153,0.9928,2020-02-27T13:41:46+0000
0.11,0.849,0.041,-0.9675,2020-02-27T17:09:21+0000
0.092,0.834,0.074,-0.9389,2020-02-27T17:32:34+0000
0.133,0.776,0.091,-0.993,2020-02-27T20:02:39+0000
0.104,0.811,0.085,-0.7488,2020-02-27T21:05:38+0000
0.196,0.673,0.131,-0.9975,2020-02-27T21:37:05+0000
0.112,0.767,0.121,0.7249,2020-02-27T21:53:17+0000
0.124,0.778,0.098,-0.8674,2020-02-27T22:01:43+0000
0.092,0.737,0.171,0.9953,2020-02-27T22:09:45+0000
0.161,0.774,0.065,-0.9702,2020-02-27T22:31:45+0000
0.147,0.741,0.112,-0.9792,2020-02-27T23:08:56+0000
0.062,0.853,0.086,0.818,2020-02-27T23:32:10+0000
0.26,0.671,0.07,-0.9974,2020-02-28T05:06:08+0000
0.117,0.807,0.076,-0.9983,2020-02-28T05:21:08+0000
0.109,0.687,0.204,0.9976,2020-02-28T06:09:15+0000
0.092,0.702,0.206,0.9955,2020-02-28T08:03:52+0000
0.109,0.78,0.111,0.3154,2020-02-28T09:00:19+0000
0.065,0.866,0.069,0.0727,2020-02-28T10:00:26+0000
0.158,0.644,0.198,0.9828,2020-02-28T10:00:50+0000
0.116,0.791,0.093,-0.9657,2020-02-28T10:48:29+0000
0.087,0.748,0.165,0.9981,2020-02-28T12:12:26+0000
0.049,0.818,0.133,0.9956,2020-02-28T14:00:06+0000
0.136,0.746,0.118,-0.1441,2020-02-28T14:15:49+0000
0.129,0.744,0.128,-0.5742,2020-02-28T14:45:16+0000
0.126,0.791,0.083,-0.9796,2020-02-28T18:00:18+0000
0.141,0.647,0.213,0.9919,2020-02-28T20:04:53+0000
0.089,0.802,0.109,0.9374,2020-02-28T21:03:37+0000
0.133,0.737,0.13,0.0586,2020-02-28T23:25:07+0000
0.125,0.765,0.11,-0.944,2020-02-29T00:00:06+0000
0.135,0.678,0.187,0.9914,2020-02-29T05:06:09+0000
0.146,0.73,0.124,-0.9957,2020-02-29T05:12:52+0000
0.052,0.728,0.22,0.9974,2020-02-29T10:00:11+0000
0.073,0.846,0.08,0.7674,2020-02-29T10:00:11+0000
0.127,0.735,0.138,0.774,2020-02-29T12:00:07+0000
0.109,0.78,0.111,-0.5116,2020-02-29T15:35:51+0000
0.089,0.83,0.081,-0.9653,2020-02-29T19:02:56+0000
0.109,0.748,0.143,0.7906,2020-02-29T20:56:37+0000
0.065,0.855,0.08,0.9509,2020-02-29T23:30:15+0000
