neg,neu,pos,compound,date
0.137,0.685,0.178,0.9381,2020-03-11T06:35:27+0000
0.0,0.936,0.064,0.4767,2020-03-11T07:00:02+0000
0.085,0.779,0.135,0.9915,2020-03-11T09:00:20+0000
0.223,0.624,0.153,-0.9974,2020-03-11T09:00:24+0000
0.118,0.739,0.143,0.9542,2020-03-11T09:00:29+0000
0.109,0.679,0.212,0.9956,2020-03-11T09:01:05+0000
0.223,0.686,0.091,-0.9972,2020-03-11T10:45:31+0000
0.097,0.77,0.133,0.9845,2020-03-11T10:50:00+0000
0.121,0.782,0.097,-0.9868,2020-03-11T16:26:55+0000
0.032,0.859,0.109,0.9983,2020-03-11T17:29:34+0000
0.115,0.757,0.128,0.9302,2020-03-11T17:52:20+0000
0.097,0.766,0.137,0.9761,2020-03-11T18:26:45+0000
0.102,0.824,0.074,-0.9434,2020-03-11T18:28:49+0000
0.09,0.782,0.127,0.9775,2020-03-11T18:44:00+0000
0.098,0.779,0.124,0.9496,2020-03-11T19:13:04+0000
0.147,0.687,0.166,0.8665,2020-03-11T19:27:51+0000
0.057,0.832,0.111,0.9873,2020-03-11T19:30:19+0000
0.187,0.692,0.121,-0.9973,2020-03-11T19:37:35+0000
0.121,0.755,0.125,0.9687,2020-03-11T19:43:58+0000
0.109,0.769,0.123,0.9134,2020-03-11T19:54:00+0000
0.178,0.721,0.101,-0.9963,2020-03-11T19:59:48+0000
0.175,0.725,0.1,-0.983,2020-03-11T20:24:14+0000
0.093,0.807,0.1,0.3187,2020-03-11T20:42:03+0000
0.02,0.878,0.102,0.9821,2020-03-11T22:47:41+0000
0.111,0.804,0.084,-0.9677,2020-03-11T22:58:08+0000
0.071,0.676,0.253,0.9966,2020-03-11T23:00:06+0000
0.069,0.834,0.097,0.9814,2020-03-11T23:33:45+0000
0.018,0.815,0.167,0.9652,2020-03-11T23:40:50+0000
0.068,0.796,0.136,0.9962,2020-03-12T09:00:09+0000
0.063,0.823,0.114,0.9993,2020-03-12T09:00:14+0000
0.054,0.868,0.078,0.9744,2020-03-12T09:00:20+0000
0.131,0.72,0.148,0.9434,2020-03-12T09:00:20+0000
0.107,0.734,0.159,0.9925,2020-03-12T09:00:22+0000
0.188,0.637,0.175,-0.8741,2020-03-12T09:00:29+0000
0.106,0.814,0.08,-0.9647,2020-03-12T09:00:33+0000
0.043,0.885,0.072,0.802,2020-03-12T09:58:12+0000
0.144,0.692,0.164,0.2619,2020-03-12T10:00:06+0000
0.118,0.728,0.154,0.9821,2020-03-12T10:56:52+0000
0.06,0.733,0.207,0.9939,2020-03-12T11:00:08+0000
0.071,0.853,0.076,0.6511,2020-03-12T11:00:14+0000
0.075,0.722,0.204,0.9971,2020-03-12T13:32:53+0000
0.124,0.767,0.11,-0.9396,2020-03-12T13:35:56+0000
0.149,0.727,0.124,-0.9913,2020-03-12T14:40:08+0000
0.233,0.64,0.128,-0.9995,2020-03-12T15:02:04+0000
0.079,0.798,0.124,0.9837,2020-03-12T15:06:00+0000
0.007,0.932,0.061,0.8979,2020-03-12T16:20:15+0000
0.053,0.83,0.117,0.9989,2020-03-12T16:48:57+0000
0.141,0.752,0.108,-0.9747,2020-03-12T18:24:58+0000
0.106,0.763,0.131,0.9831,2020-03-12T18:27:02+0000
0.133,0.745,0.122,-0.8496,2020-03-12T18:37:06+0000
0.026,0.862,0.112,0.9947,2020-03-12T18:52:57+0000
0.126,0.725,0.149,0.7145,2020-03-12T19:11:26+0000
0.093,0.815,0.092,-0.1119,2020-03-12T19:25:05+0000
0.047,0.83,0.123,0.9891,2020-03-12T19:56:06+0000
0.141,0.75,0.109,-0.9828,2020-03-12T20:07:19+0000
0.062,0.779,0.159,0.9956,2020-03-12T20:30:11+0000
0.174,0.719,0.108,-0.9906,2020-03-12T20:41:10+0000
0.138,0.728,0.134,-0.979,2020-03-12T21:44:57+0000
0.051,0.856,0.093,0.9929,2020-03-12T22:45:30+0000
0.116,0.804,0.081,-0.9629,2020-03-12T23:24:12+0000
0.121,0.751,0.129,0.8214,2020-03-12T23:39:19+0000
0.145,0.747,0.108,-0.9899,2020-03-12T23:43:53+0000
0.169,0.663,0.168,-0.8612,2020-03-13T00:44:01+0000
0.081,0.786,0.133,0.8126,2020-03-13T08:00:02+0000
0.105,0.702,0.193,0.9873,2020-03-13T08:48:36+0000
0.18,0.715,0.105,-0.9923,2020-03-13T09:00:13+0000
0.099,0.784,0.117,0.8227,2020-03-13T09:00:24+0000
