Company Name;Exchange:Ticker;Currency;Market Cap (mm) [Latest]*†;Revenue (mm);% Price Change [Last Day];% Price Change [30 Day];% Price Change [YTD];% Price Change [12 Month];Price Close;P/E*†;P/BV*†;Primary Industry;cap_01012020;cap_11212020;% Change between Jan and Nov 2020
American Tower Corporation (REIT);NYSE:AMT;USD;103350,68;7842,7;(2.42%);(3.76%);1.24%;6.77%;232,66;55.01x;28.38x;Specialized REITs; 101.797 ; 103.351 ;1,5%
American Water Works Company, Inc.;NYSE:AWK;USD;28588,41;3756;0.68%;3.59%;28.38%;30.80%;157,71;43.21x;4.36x;Water Utilities; 22.208 ; 28.588 ;28,7%
Ameriprise Financial, Inc.;NYSE:AMP;USD;21212,41;11873;(2.09%);7.83%;7.94%;13.52%;179,8;12.62x;3.59x;Asset Management and Custody Banks; 21.105 ; 21.212 ;0,5%
AmerisourceBergen Corporation;NYSE:ABC;USD;20518,93;189893,93;(1.41%);2.79%;18.16%;14.75%;100,46;NM;-;Health Care Distributors; 17.508 ; 20.519 ;17,2%
AMETEK, Inc.;NYSE:AME;USD;27014,22;4645,9;(0.64%);9.58%;17.73%;19.22%;117,42;31.06x;4.77x;Electrical Components and Equipment; 22.800 ; 27.014 ;18,5%
Amgen Inc.;NasdaqGS:AMGN;USD;129922,57;24987;(0.67%);(2.53%);(7.43%);(1.04%);223,17;18.00x;11.96x;Biotechnology; 143.240 ; 129.923 ;-9,3%
Amphenol Corporation;NYSE:APH;USD;38109,32;8323,9;0.15%;10.83%;17.70%;24.62%;127,39;33.61x;7.53x;Electronic Components; 32.089 ; 38.109 ;18,8%
Analog Devices, Inc.;NasdaqGS:ADI;USD;49846,22;5519,98;(0.95%);8.11%;13.50%;24.22%;134,88;45.11x;4.27x;Semiconductors; 43.769 ; 49.846 ;13,9%
ANSYS, Inc.;NasdaqGS:ANSS;USD;27333,48;1543,84;(1.81%);(2.93%);23.64%;29.64%;318,26;72.36x;7.75x;Application Software; 22.029 ; 27.333 ;24,1%
Anthem, Inc.;NYSE:ANTM;USD;76009,01;117449;(2.00%);3.19%;1.19%;4.41%;305,62;15.78x;2.29x;Managed Health Care; 76.584 ; 76.009 ;-0,8%
Aon Plc;NYSE:AON;USD;45334,75;10986;(2.09%);(3.76%);(4.62%);(1.42%);198,67;25.62x;13.13x;Insurance Brokers; 48.768 ; 45.335 ;-7,0%
Apache Corporation;NasdaqGS:APA;USD;4318,35;4675;0.79%;25.71%;(55.30%);(49.98%);11,44;NM;NM;Oil and Gas Exploration and Production; 9.623 ; 4.318 ;-55,1%
Apartment Investment & Mgmt - placeholder;AIV_z;-;-;-;-;-;-;-;-;-;-;-; (Invalid Identifier) ; (Invalid Identifier) ;#VALUE!
Apartment Investment and Management Company;NYSE:AIV;USD;4561,25;889,69;(0.65%);(9.86%);(40.68%);(43.87%);30,64;29.76x;2.16x;Residential REITs; 7.690 ; 4.561 ;-40,7%
Apple Inc.;NasdaqGS:AAPL;USD;1994991,45;274515;(1.10%);0.40%;59.84%;78.34%;117,34;35.77x;30.83x;Technology Hardware, Storage and Peripherals; 1.304.765 ; 1.994.991 ;52,9%
Applied Materials, Inc.;NasdaqGS:AMAT;USD;70071,62;17202;(0.68%);23.53%;25.70%;28.63%;76,73;19.57x;6.67x;Semiconductor Equipment; 55.870 ; 70.072 ;25,4%
Aptiv PLC;NYSE:APTV;USD;30869,3;12450;(0.90%);15.00%;20.37%;27.73%;114,32;17.42x;4.23x;Auto Parts and Equipment; 24.245 ; 30.869 ;27,3%
Archer-Daniels-Midland Company;NYSE:ADM;USD;27046,07;62706;(0.63%);(4.33%);4.88%;14.38%;48,61;17.23x;1.41x;Agricultural Products; 25.802 ; 27.046 ;4,8%
Arista Networks, Inc.;NYSE:ANET;USD;20315,1;2221,58;(1.60%);25.29%;32.01%;38.37%;268,5;30.04x;6.69x;Communications Equipment; 15.540 ; 20.315 ;30,7%
Arthur J. Gallagher & Co.;NYSE:AJG;USD;22222,81;6776,1;(0.42%);7.37%;21.34%;24.11%;115,55;28.88x;3.87x;Insurance Brokers; 17.763 ; 22.223 ;25,1%
Assurant, Inc.;NYSE:AIZ;USD;7867,27;10107,7;(0.76%);8.91%;2.14%;1.08%;133,89;19.83x;1.34x;Multi-line Insurance; 7.948 ; 7.867 ;-1,0%
AT&T Inc.;NYSE:T;USD;201781,28;172890;0.14%;5.99%;(27.53%);(23.83%);28,32;18.63x;1.15x;Integrated Telecommunication Services; 285.479 ; 201.781 ;-29,3%
